Model Number,Item Description,Detail Description,Overall Width,Overall Depth,Overall Height,Arm Height,Seat Height,Seat Depth,Inside Width,Weight (Wrap),Weight (Carton),Cubic Feet,COM Price,COM Yardage,Year
1116-01,Lounge Chair,"Loose Back, Loose Seat",33,37,36,24,20-1/2,20-1/2,21,65,75,25.55,1654,11.25,2016
1116-31,Swivel Chair,"Loose Back, Loose Seat",33,37,36,24,20-1/2,20-1/2,21,95,110,25.55,1654,10.75,2016
1121-31,Swivel Chair,"Loose Pillow Back, Loose Seat",32,37-1/2,36-1/2,25-1/2,21,20,23,65,75,27.89,1654,11.75,2016
1122-31,Swivel Chair,"Tufted Back, Loose Seat",32,35,38-1/2,22-1/2,21,22,23-1/2,65,75,27.89,1761,8.25,2016
1122-32,Swivel Glider,"Tufted Back, Loose Seat",32,35,38-1/2,22-1/2,21,22,23-1/2,65,75,27.89,1914,8.25,2016
1123-30,Swivel Rocker,"Tufted Back, Loose Seat",28-1/2,33-1/2,39,23,18-1/2,20-1/2,20,55,65,20.33,1522,8.25,2016
1123-31,Swivel Chair,"Tufted Back, Loose Seat",28-1/2,33-1/2,39,23,18-1/2,20-1/2,20,55,65,20.33,1522,8.25,2016
1126-30,Swivel Rocker,"Loose Back, Loose Seat",30,38,38,24,21-1/2,20,23,90,105,31.44,1807,13.00,2016
1126-31,Swivel Chair,"Loose Back, Loose Seat",30,38,38,24,21-1/2,20,23,,,,1807,13.00,2016
1141-01,Lounge Chair,"Tufted Back, Loose Seat",32,34,35-1/2,24,19-1/2,22,20-1/2,55,65,20.33,1434,6.25,2016
1141-20,Ottoman,Semi-Attached Seat,27-1/2,21,17-1/2,N/A,N/A,N/A,N/A,25,30,9.51,740,3.00,2016
1170-30,Swivel Rocker,"Loose Back, Loose Seat",31,34,38,26-1/2,20,20,19-1/2,95,105,25.55,1886,13.50,2016
1170-32,Swivel Glider,"Loose Back, Loose Seat",31,34,38,26-1/2,20,20,19-1/2,95,105,25.55,2039,13.50,2016
1189-31,Swivel Chair,"Loose Back, Loose Seat",31,33,36,26-1/2,20,18,22,75,85,25.55,1516,9.00,2016
1189-32,Swivel Glider,"Loose Back, Loose Seat",31,33,36,26-1/2,20,18,22,75,85,25.55,1669,9.00,2016
1191-31,Swivel Chair,"Tight Back, Loose Seat",30,35-1/2,35,23,20,21-1/2,23,65,75,27.89,1550,8.50,2016
1191-32,Swivel Glider,"Tight Back, Loose Seat",30,35-1/2,35,23,20-1/2,22,23,35,45,20.33,1718,8.50,2016
1401-01,Lounge Chair,"Tight Back, Loose Seat",35-1/2,35-1/2,38-1/2,24-1/2,21,21,22-1/2,60,75,25.90,1571,8.00,2016
1403-01,Lounge Chair,"Tight Back, Loose Seat",35-1/2,37-1/2,38,25-1/2,21,22-1/2,22,75,85,25.55,1641,8.25,2016
1403-20,Ottoman,Semi-Attached Seat,27-1/2,21,19,N/A,N/A,N/A,N/A,30,35,9.51,752,3.75,2016
1404-01,Lounge Chair,"Tight Back, Loose Seat",39,36-1/2,39-1/2,24-1/2,21,22-1/2,25-1/2,85,95,33.75,1700,10.25,2016
1405-01,Lounge Chair,"Tight Back, Loose Seat",29,37,36-1/2,26,19,21-1/2,21,65,75,27.89,1590,6.50,2016
1407-01,Lounge Chair,"Tight Back, Loose Seat",31-1/2,34-1/2,38-1/2,24-1/2,21-1/2,22,23-1/2,85,95,25.55,1715,10.25,2016
1407-31,Swivel Chair,"Tight Back, Loose Seat",31-1/2,34-1/2,38-1/2,24-1/2,21-1/2,22,23-1/2,85,95,25.55,1792,10.25,2016
1408-01,Lounge Chair,"Semi-Attached Back, Loose Seat",32-1/2,37,36-1/2,26,21-1/2,20,23,65,75,31.70,1779,10.50,2016
1408-31,Swivel Chair,"Semi-Attached Back, Loose Seat",32-1/2,37,36-1/2,26,21-1/2,20,23,90,105,31.44,1779,10.50,2016
1409-01,Lounge Chair,"Tight Back, Loose Seat",34-1/2,36,38,25,20-1/2,20,22,60,70,25.55,1534,7.50,2016
1410-01,Lounge Chair,"Tufted Back, Loose Seat",39,36-1/2,39,24-1/2,21,21-1/2,23,65,75,33.75,1853,11.25,2016
